Concentration,Time,zmol/cell,StDev-zmol/cell,Type,Uptake,StDev,% intra,Concentration_actual
4000 nM,0,0,1.955029576,Intracellular,0,48.8757394,,4107.6
4000 nM,0.5,2.802704726,4.176303711,Intracellular,70.06761815,104.4075928,,4107.6
4000 nM,1,7.883950174,1.756019907,Intracellular,197.0987544,43.90049768,,4107.6
4000 nM,0,0,0.593885515,Total,0,14.84713788,,4107.6
4000 nM,0.5,4.704809782,4.49362157,Total,102.165641,97.57965768,0.595710529,4107.6
4000 nM,1,22.04484929,7.082745908,Total,436.0639269,140.1021143,0.357632301,4107.6
4000 nM,0,0,1.444790755,Oxidized,0,24.38084399,,4107.6
4000 nM,0.5,1.902105056,5.962107612,Oxidized,32.09802282,100.610566,,4107.6
4000 nM,1,14.16089912,7.152725018,Oxidized,238.9651727,120.7022347,,4107.6
1000 nM,0,0,0,Intracellular,0,0,,894.8
1000 nM,0.5,1.936328997,0.458252027,Intracellular,48.40822493,11.45630068,,894.8
1000 nM,1,5.349861083,2.462743714,Intracellular,133.7465271,61.56859285,,894.8
1000 nM,0,0,3.50457422,Total,0,87.6143555,,894.8
1000 nM,0.5,6.079383453,2.990821428,Total,118.3222689,58.20997802,0.318507462,894.8
1000 nM,1,19.46860476,3.059060028,Total,372.0003266,58.4516119,0.274794273,894.8
1000 nM,0,0,3.50457422,Oxidized,0,59.13968996,,894.8
1000 nM,0.5,4.143054456,1.736083957,Oxidized,69.91404395,29.29641677,,894.8
1000 nM,1,14.11874368,3.046626762,Oxidized,238.2537996,51.41182661,,894.8
250 nM,0,0,0.147322302,Intracellular,0,3.68305755,,232.1
250 nM,0.5,2.127646926,0.220463447,Intracellular,53.19117315,5.511586175,,232.1
250 nM,1,3.966848046,1.420412784,Intracellular,99.17120115,35.5103196,,232.1
250 nM,0,0,1.021407323,Total,0,25.53518308,,232.1
250 nM,0.5,3.302980395,1.302907557,Total,73.02492544,28.80571963,0.64415972,232.1
250 nM,1,17.13932153,1.999349262,Total,321.4566912,37.49881214,0.231447204,232.1
250 nM,0,0,0.729718021,Oxidized,0,12.3139916,,232.1
250 nM,0.5,1.175333468,1.101673201,Oxidized,19.83375227,18.59073527,,232.1
250 nM,1,13.17247348,2.341469957,Oxidized,222.28549,39.51230552,,232.1
62.5 nM,0,0,0.103027287,Intracellular,0,2.575682175,,64
62.5 nM,0.5,2.026741604,0.109527342,Intracellular,50.6685401,2.73818355,,64
62.5 nM,1,3.971283119,1.261151923,Intracellular,99.28207798,31.52879808,,64
62.5 nM,0,0,0.461004807,Total,0,11.52512018,,64
62.5 nM,0.5,5.12396754,0.521658328,Total,102.9342278,10.47947645,0.39554146,64
62.5 nM,1,16.53810027,1.007231548,Total,311.3471174,18.96219239,0.240129341,64
62.5 nM,0,0,0.334020998,Oxidized,0,5.636604341,,64
62.5 nM,0.5,3.097225937,0.415395742,Oxidized,52.26568769,7.009803146,,64
62.5 nM,1,12.56681715,1.579066033,Oxidized,212.0650394,26.64673931,,64
15.6 nM,0,0,0.289401146,Intracellular,0,7.23502865,,15
15.6 nM,0.5,1.496995217,0.594310981,Intracellular,37.42488043,14.85777453,,15
15.6 nM,1,4.534976436,0.792821286,Intracellular,113.3744109,19.82053215,,15
15.6 nM,0,0,0.439127021,Total,0,10.97817553,,15
15.6 nM,0.5,7.927151479,1.343716002,Total,145.9337673,24.73694857,0.188844028,15
15.6 nM,1,18.47503763,1.699294871,Total,348.6129435,32.06468094,0.245465072,15
15.6 nM,0,0,0.371877375,Oxidized,0,6.275430703,,15
15.6 nM,0.5,6.430156262,1.421437812,Oxidized,108.5088869,23.98676308,,15
15.6 nM,1,13.9400612,1.837899852,Oxidized,235.2385328,31.01456,,15
4 nM,0,0,0.105405633,Intracellular,0,2.635140825,,4
4 nM,0.5,1.335743592,0.191411947,Intracellular,33.3935898,4.785298675,,4
4 nM,1,2.652903184,0.303053039,Intracellular,66.3225796,7.576325975,,4
4 nM,0,0,0.313902636,Total,0,7.8475659,,4
4 nM,0.5,5.26852874,0.800498315,Total,99.75933917,15.15739723,0.253532562,4
4 nM,1,10.5382119,0.644204909,Total,199.3871642,12.18861332,0.251741302,4
4 nM,0,0,0.234142278,Oxidized,0,3.951150941,,4
4 nM,0.5,3.932785148,0.789058604,Oxidized,66.36574937,13.31536394,,4
4 nM,1,7.885308718,0.672323213,Oxidized,133.0645846,11.34545422,,4
1 nM,0,0,0.063814914,Intracellular,0,1.59537285,,1
1 nM,0.5,0.405060894,0.184459683,Intracellular,10.12652235,4.611492075,,1
1 nM,1,1.015061663,0.12808585,Intracellular,25.37654158,3.20214625,,1
1 nM,0,0,0.018435436,Total,0,0.4608859,,1
1 nM,0.5,1.29382217,0.01305134,Total,25.12436888,0.253440301,0.313073082,1
1 nM,1,2.909032973,0.315124944,Total,57.33730743,6.211141627,0.348934396,1
1 nM,0,0,0.046969184,Oxidized,0,0.79260498,,1
1 nM,0.5,0.888761275,0.178856389,Oxidized,14.99784652,3.018201564,,1
1 nM,1,1.89397131,0.33690297,Oxidized,31.96076586,5.685237619,,1
