Concentration,Time,zmol/cell,StDev-zmol/cell,Type,Uptake,StDev
4 uM,0,0,21.32265177,Intracellular,0,0.2843
4 uM,0.5,271.2558266,64.81005013,Intracellular,3.61674,0.86413
4 uM,1,459.5265226,73.87926273,Intracellular,6.12702,0.98506
4 uM,2,1265.932482,453.8346151,Intracellular,16.8791,6.05113
4 uM,2.5,1437.57162,483.5472266,Intracellular,19.16762,6.4473
4 uM,3,1800.264973,1087.736415,Intracellular,24.00353,14.50315
4 uM,0,0,47.36364444,Total,0,0.63152
4 uM,0.5,97.53623845,95.40930499,Total,1.30048,1.27212
4 uM,1,498.1387558,35.95029188,Total,6.47453,0.467261892
4 uM,2,1323.530962,136.1370583,Total,17.39749,1.789487851
4 uM,2.5,2114.08867,303.3625237,Total,25.25628,3.624165555
4 uM,3,3089.638506,702.1953839,Total,35.60789,8.092758841
4 uM,0,0,36.72853314,Oxidized,0,0.33056
4 uM,0.5,0,109.3356892,Oxidized,0,0.98402
4 uM,1,38.61223312,73.4954679,Oxidized,0.34751,0.66146
4 uM,2,57.59847951,255.6691519,Oxidized,0.51839,2.30102
4 uM,2.5,676.5170494,408.3066249,Oxidized,6.08865,3.67476
4 uM,3,1289.373533,987.8206,Oxidized,11.60436,8.89039
